study_cca,variable,est,value,type,group
today_included,hdlc,q25,33,Continuous,NA
today_included,hdlc,q75,44,Continuous,NA
today_included,hdlc,min,17,Continuous,NA
today_included,hdlc,max,75,Continuous,NA
today_included,hdlc,freq,335,Continuous,NA
today_included,hdlc,missing,0,Continuous,NA
today_included,totalc,mean,143.56119402985075,Continuous,NA
today_included,totalc,sd,28.583133060880716,Continuous,NA
today_included,totalc,median,142,Continuous,NA
today_included,totalc,q25,124,Continuous,NA
today_included,totalc,q75,160,Continuous,NA
today_included,totalc,min,54,Continuous,NA
today_included,totalc,max,242,Continuous,NA
today_included,totalc,freq,335,Continuous,NA
today_included,totalc,missing,0,Continuous,NA
today_included,insulinf,mean,30.167469879518073,Continuous,NA
today_included,insulinf,sd,22.192598904750348,Continuous,NA
today_included,insulinf,median,25.35,Continuous,NA
today_included,insulinf,q25,17.174999999999997,Continuous,NA
today_included,insulinf,q75,36.625,Continuous,NA
today_included,insulinf,min,2.2,Continuous,NA
today_included,insulinf,max,202.5,Continuous,NA
today_included,insulinf,freq,332,Continuous,NA
today_included,insulinf,missing,3,Continuous,NA
today_included,tgl,mean,108.03582089552239,Continuous,NA
today_included,tgl,sd,67.10166498352064,Continuous,NA
today_included,tgl,median,89,Continuous,NA
today_included,tgl,q25,64.5,Continuous,NA
today_included,tgl,q75,130,Continuous,NA
today_included,tgl,min,27,Continuous,NA
today_included,tgl,max,541,Continuous,NA
today_included,tgl,freq,335,Continuous,NA
today_included,tgl,missing,0,Continuous,NA
today_included,glucosef,mean,106.36119402985075,Continuous,NA
today_included,glucosef,sd,21.371065525232865,Continuous,NA
today_included,glucosef,median,101,Continuous,NA
today_included,glucosef,q25,92,Continuous,NA
today_included,glucosef,q75,115.5,Continuous,NA
today_included,glucosef,min,70,Continuous,NA
today_included,glucosef,max,214,Continuous,NA
today_included,glucosef,freq,335,Continuous,NA
today_included,glucosef,missing,0,Continuous,NA
Total,female,proportion,56.38766519823789,Proportion,NA
Total,female,freq,681,Proportion,NA
Total,female,missing,0,Proportion,NA
Total,insulin,proportion,29.646017699115045,Proportion,NA
Total,insulin,freq,678,Proportion,NA
Total,insulin,missing,3,Proportion,NA
Total,metformin,proportion,75.95870206489676,Proportion,NA
Total,metformin,freq,678,Proportion,NA
Total,metformin,missing,3,Proportion,NA
search_excluded,female,proportion,52.616279069767444,Proportion,NA
search_excluded,female,freq,344,Proportion,NA
search_excluded,female,missing,0,Proportion,NA
