study_cca,variable,est,value,type,group
Total,dmduration_category,freq,718,Grouped,<=5 months
search_excluded,dmduration_category,proportion,100,Grouped,<=5 months
search_excluded,dmduration_category,freq,77,Grouped,<=5 months
search_included,dmduration_category,proportion,100,Grouped,<=5 months
search_included,dmduration_category,freq,304,Grouped,<=5 months
today_included,dmduration_category,proportion,100,Grouped,<=5 months
today_included,dmduration_category,freq,337,Grouped,<=5 months
Total,age_category,proportion,21.448467966573816,Grouped,14-15
Total,age_category,freq,154,Grouped,14-15
Total,age_category,proportion,41.36490250696379,Grouped,<=13
Total,age_category,freq,297,Grouped,<=13
Total,age_category,proportion,37.1866295264624,Grouped,>15
Total,age_category,freq,267,Grouped,>15
search_excluded,age_category,proportion,10.38961038961039,Grouped,14-15
search_excluded,age_category,freq,8,Grouped,14-15
search_excluded,age_category,proportion,67.53246753246754,Grouped,<=13
search_excluded,age_category,freq,52,Grouped,<=13
search_excluded,age_category,proportion,22.07792207792208,Grouped,>15
search_excluded,age_category,freq,17,Grouped,>15
search_included,age_category,proportion,14.144736842105264,Grouped,14-15
search_included,age_category,freq,43,Grouped,14-15
search_included,age_category,proportion,35.526315789473685,Grouped,<=13
search_included,age_category,freq,108,Grouped,<=13
search_included,age_category,proportion,50.328947368421055,Grouped,>15
search_included,age_category,freq,153,Grouped,>15
today_included,age_category,proportion,30.56379821958457,Grouped,14-15
today_included,age_category,freq,103,Grouped,14-15
today_included,age_category,proportion,40.652818991097924,Grouped,<=13
today_included,age_category,freq,137,Grouped,<=13
today_included,age_category,proportion,28.783382789317507,Grouped,>15
today_included,age_category,freq,97,Grouped,>15
Total,race_eth,proportion,30.64066852367688,Grouped,Hispanic
Total,race_eth,freq,220,Grouped,Hispanic
Total,race_eth,proportion,30.22284122562674,Grouped,NH Black
Total,race_eth,freq,217,Grouped,NH Black
Total,race_eth,proportion,8.217270194986073,Grouped,NH Other
Total,race_eth,freq,59,Grouped,NH Other
Total,race_eth,proportion,30.919220055710305,Grouped,NH White
Total,race_eth,freq,222,Grouped,NH White
search_excluded,race_eth,proportion,15.584415584415584,Grouped,Hispanic
search_excluded,race_eth,freq,12,Grouped,Hispanic
search_excluded,race_eth,proportion,15.584415584415584,Grouped,NH Black
search_excluded,race_eth,freq,12,Grouped,NH Black
search_excluded,race_eth,proportion,3.896103896103896,Grouped,NH Other
search_excluded,race_eth,freq,3,Grouped,NH Other
search_excluded,race_eth,proportion,64.93506493506493,Grouped,NH White
search_excluded,race_eth,freq,50,Grouped,NH White
search_included,race_eth,proportion,22.039473684210527,Grouped,Hispanic
search_included,race_eth,freq,67,Grouped,Hispanic
search_included,race_eth,proportion,36.8421052631579,Grouped,NH Black
search_included,race_eth,freq,112,Grouped,NH Black
search_included,race_eth,proportion,8.881578947368421,Grouped,NH Other
search_included,race_eth,freq,27,Grouped,NH Other
search_included,race_eth,proportion,32.23684210526316,Grouped,NH White
search_included,race_eth,freq,98,Grouped,NH White
today_included,race_eth,proportion,41.839762611275965,Grouped,Hispanic
today_included,race_eth,freq,141,Grouped,Hispanic
today_included,race_eth,proportion,27.596439169139465,Grouped,NH Black
today_included,race_eth,freq,93,Grouped,NH Black
today_included,race_eth,proportion,8.6053412462908,Grouped,NH Other
today_included,race_eth,freq,29,Grouped,NH Other
today_included,race_eth,proportion,21.958456973293767,Grouped,NH White
today_included,race_eth,freq,74,Grouped,NH White
Total,bmipct,proportion,48.8857938718663,Grouped,<98.5
Total,bmipct,freq,351,Grouped,<98.5
Total,bmipct,proportion,51.1142061281337,Grouped,>=98.5
Total,bmipct,freq,367,Grouped,>=98.5
search_excluded,bmipct,proportion,93.50649350649351,Grouped,<98.5
search_excluded,bmipct,freq,72,Grouped,<98.5
search_excluded,bmipct,proportion,6.4935064935064934,Grouped,>=98.5
search_excluded,bmipct,freq,5,Grouped,>=98.5
search_included,bmipct,proportion,44.73684210526316,Grouped,<98.5
search_included,bmipct,freq,136,Grouped,<98.5
search_included,bmipct,proportion,55.26315789473684,Grouped,>=98.5
search_included,bmipct,freq,168,Grouped,>=98.5
today_included,bmipct,proportion,42.433234421364986,Grouped,<98.5
today_included,bmipct,freq,143,Grouped,<98.5
today_included,bmipct,proportion,57.566765578635014,Grouped,>=98.5
today_included,bmipct,freq,194,Grouped,>=98.5
